qid,ans,label
39,Adhesion molecules are proteins located on the cell surface that help cells stick to each other and to their surroundings.,2
39,Adhesion molecules are only found on the cell surface and do not interact with other cells or the extracellular matrix.,0
39,Adhesion molecules are involved in the process of cell division and not cell adhesion.,0
39,Adhesion molecules are only found in plants and not in animals.,0
39,Adhesion molecules are responsible for the transportation of nutrients and waste products between cells.,0
40,"The cost for treating broken capillaries with laser therapy is generally around $350 for the cheeks and nose, and $550 for the full face, with a package of 3 full face treatments available for $1100.",2
40,The cost for laser treatment for broken capillaries is only $100 per session.,0
40,The cost for laser treatment for broken capillaries is $200 per session.,0
40,The cost for laser treatment for broken capillaries is $500 per session.,0
40,"The cost for laser treatment for broken capillaries is $1,500 for a single session.",0
41,"Hyperthyroidism symptoms include restlessness, tremors, weight loss, sweating, rapid heart rate, intolerance to heat, and frequent bowel movements.",2
41,"Hyperthyroidism is a condition in which the thyroid gland is underactive, causing a deficiency of thyroid hormones.",0
41,Hyperthyroidism is a condition in which the thyroid gland is producing an insufficient amount of thyroid hormones.,0
41,"Hyperthyroidism is a condition in which the thyroid gland is producing an excessive amount of thyroid hormones, causing symptoms such as weight gain and fatigue.",0
41,"Hyperthyroidism is a condition in which the thyroid gland is producing an excessive amount of thyroid hormones, causing symptoms such as weight loss and increased appetite.",0
42,"Supergreens are high in phytonutrients and provide digestive enzymes, which help to heal tissues.",2
42,Supergreens are only found in dark green vegetables like kale and broccoli.,0
42,Supergreens are not a good source of fiber.,0
42,Supergreens are not beneficial for digestive health.,0
42,Supergreens are not effective in healing tissues.,0
43,"Malaria is contracted through the bites of infected female Anopheles mosquitoes, which transmit the Plasmodium parasite.",2
43,Malaria is transmitted through contaminated water sources.,0
43,Malaria is caused by a bacterial infection.,0
43,Malaria is contracted through direct contact with an infected person.,0
43,Malaria is transmitted through the consumption of contaminated food.,0
44,"Yes, an eye is an organ that works with the brain to provide us with vision.",2
44,An eye is a round-shaped structure that helps us see objects.,0
44,An eye is a part of the brain that processes visual information.,0
44,An eye is a round-shaped structure that helps us see colors.,0
44,An eye is a round-shaped structure that helps us see in the dark.,0
45,"CBG is the non-psychoactive ""stem cell"" of cannabinoids in weed, quickly converted to other cannabinoids by enzymes in the plant.",2
45,"CBG is a psychoactive compound in weed that is responsible for the ""high"" effect.",0
45,"CBG is a cannabinoid found only in hemp plants, not in marijuana.",0
45,CBG is a synthetic compound created in laboratories to mimic the effects of cannabinoids.,0
45,CBG is a cannabinoid found in weed that has no medical benefits.,0
46,The PNS can be divided into two separate system,2
46,The PNS is composed of only the autonomic nervous system.,0
46,The PNS is solely responsible for controlling voluntary movements.,0
46,The PNS is responsible for regulating only external-organ function.,0
46,The PNS is divided into the central nervous system and the peripheral nervous system.,0
47,Flagella and pili are both composed of proteins.,2
47,Flagella are composed of DNA.,0
47,Pili are composed of cellulose.,0
47,Flagella are composed of flagellin proteins.,0
47,Pili are composed of flagellin proteins.,0
48,Dopamine is produced in the substantia nigra of the human brain.,2
48,Dopamine is produced in the hypothalamus.,0
48,Dopamine is produced in the cerebral cortex.,0
48,Dopamine is produced in the cerebellum.,0
48,Dopamine is produced in the hippocampus.,0
49,"Collagen peptides help soothe and heal the digestive tract, repair the mucous lining, and break down protein and fat for easier digestion.",2
49,Collagen peptides only improve digestion after meals.,0
49,Collagen peptides are not effective in treating digestive issues.,0
49,Collagen peptides can cause digestive problems for some individuals.,0
49,Collagen peptides are not beneficial for overall digestive health.,0
50,"Proteins are important in our diet because they are the building blocks of life, essential for cell repair, growth, and development in children, teens, and pregnant women.",2
50,Proteins are only important for athletes and bodybuilders.,0
50,"Proteins are not necessary in our diet, as our body can produce them on its own.",0
50,Proteins are only important for vegetarians and vegans.,0
50,Proteins are only important for people with specific medical conditions.,0
51,"Neurofibromatosis type 2 is a disorder characterized by the growth of noncancerous tumors in the nervous system, with vestibular schwannomas or acoustic neuromas being the most common.",2
51,Neurofibromatosis type 2 is a rare genetic disorder that affects the development of tumors in the nervous system.,0
51,"Neurofibromatosis type 2 is a disorder that causes the growth of noncancerous tumors in the nervous system, primarily affecting the auditory nerve.",0
51,"Neurofibromatosis type 2 is a genetic disorder that affects the development of tumors in the nervous system, with vestibular schwannomas being the most common type.",0
51,"Neurofibromatosis type 2 is a disorder characterized by the growth of noncancerous tumors in the nervous system, primarily affecting the auditory nerve.",0
52,"Thermage costs can range from $900 to $4,000, depending on the area being treated and the degree of work required.",2
52,Thermage treatments are always painful and require only one or two sessions.,0
52,Thermage costs are fixed and do not vary based on the area being treated.,0
52,Thermage treatments are only available for specific areas of the body.,0
52,Thermage treatments are not effective for skin tightening and wrinkle reduction.,0
53,Salmonella food poisoning symptoms usually appear within 8 to 72 hours after consuming contaminated food or water.,2
53,Salmonella poisoning symptoms last for up to 48 hours.,0
53,Dehydration is not a concern with salmonella food poisoning.,0
53,Salmonella poisoning symptoms can take up to a week to appear.,0
53,Salmonella food poisoning symptoms are mild and easily manageable.,0
54,The iron lung was used to treat polio patients by providing mechanical ventilation to help them breathe.,2
54,The iron lung was used to treat tuberculosis patients.,0
54,The iron lung was used to treat patients with severe asthma.,0
54,The iron lung was used to treat patients with paralysis due to spinal cord injuries.,0
54,The iron lung was used to treat patients with severe respiratory failure.,0
55,A nasal cannula can carry 1-5 liters of oxygen per minute.,2
55,Nasal cannulae are only used for infants and neonates.,0
55,Nasal cannulae are attached to the patient's ears.,0
55,Nasal cannulae are used for delivering oxygen to adults.,0
55,Nasal cannulae are used for delivering oxygen to infants and neonates.,0
56,Streptomycin is used to treat or prevent infections caused by bacteria.,2
56,Streptomycin is used to treat viral infections.,0
56,Streptomycin is used to treat fungal infections.,0
56,Streptomycin is used to treat parasitic infections.,0
56,Streptomycin is used to treat autoimmune diseases.,0
57,"Cyclosporiasis is an intestinal illness caused by Cyclospora cayetanensis, a one-cell parasite.",2
57,Cyclosporiasis is a bacterial infection transmitted through contaminated food.,0
57,Cyclosporiasis is a rare disease caused by a virus and is only found in tropical regions.,0
57,Cyclosporiasis is a skin condition caused by a fungus and is more common in cold climates.,0
57,Cyclosporiasis is a respiratory illness caused by a bacterium and is more prevalent in the winter months.,0
58,"After a tummy tuck, patients can expect a flatter, toned midsection with improved muscle definition and a reduction in excess skin and fat.",2
58,"Patients can expect to lose a significant amount of weight after a tummy tuck, which is not true.",0
58,"Patients can expect to have a quick recovery after a tummy tuck, which is not accurate.",0
58,"Patients can expect to have a permanent change in their body shape after a tummy tuck, which is not guaranteed.",0
58,"Patients can expect to have a tummy tuck without any scarring, which is not always the case.",0
59,Raw honey is used to relieve constipation naturally when mixed with apple cider vinegar.,2
59,Raw honey is used as a natural antiseptic to prevent the growth of disease-causing microorganisms.,0
59,Raw honey is used as a topical antiseptic to treat skin infections without damaging the skin.,0
59,Raw honey is used as a natural sweetener in various recipes and as a substitute for sugar.,0
59,Raw honey is used as a natural remedy for coughs and colds due to its antibacterial properties.,0
60,Armpits smell due to the presence of bacteria that produce smelly compounds when they encounter sweat.,2
60,"Armpits smell because they are dark and moist, creating an ideal environment for bacteria to thrive.",0
60,"Armpits smell because they are warm, attracting bacteria that produce body odor.",0
60,"Armpits smell because they are usually covered by clothing, trapping sweat and bacteria.",0
60,"Armpits smell because they are not exposed to sunlight, allowing bacteria to grow unchecked.",0
61,"Intestinal infections are caused by consuming contaminated, raw or uncooked meat, unpasteurized milk and milk products, contaminated shellfish, drinking contaminated water, or swimming in contaminated pools.",2
61,Intestinal infections are caused by eating only raw meat.,0
61,Intestinal infections are caused by drinking only unpasteurized milk.,0
61,Intestinal infections are caused by swimming in clean pools.,0
61,Intestinal infections are caused by consuming only cooked meat.,0
62,"RNA stands for ribonucleic acid, and it's very similar to DNA. It can be found in several locations inside cells and plays an integral role in the formation of proteins.",2
62,RNA is a type of nucleic acid that is only found in the nucleus of cells.,0
62,RNA is a single-stranded molecule that is responsible for the storage and transmission of genetic information.,0
62,"RNA is a molecule that is involved in the synthesis of proteins, but it does not play a role in the formation of proteins.",0
62,RNA is a molecule that is only found in the cytoplasm of cells and is not involved in the formation of proteins.,0
63,"Bryophytes are the oldest extant lineages of land plants, characterized by a life cycle dominated by the haploid gametophyte generation.",2
63,Bryophytes are a group of plants that reproduce through spores and have a life cycle similar to mosses.,0
63,Bryophytes are a type of plant that only reproduce through spores and have a life cycle similar to ferns.,0
63,Bryophytes are a group of plants that reproduce through seeds and have a life cycle similar to mosses.,0
63,Bryophytes are a type of plant that reproduce through seeds and have a life cycle similar to ferns.,0
64,The tooth needs to be extracted to prevent infection and swelling.,2
64,The root can be saved and reattached to the tooth.,0
64,The procedure is painful and takes a long time.,0
64,The root can be left in the gum and will eventually fall out.,0
64,The root can be left in the gum and will not cause any problems.,0
65,"A chronic dry cough that's worse at night, disturbing sleep, and sometimes with wheezing and shortness of breath is a sign of asthma, especially in children.",2
65,A dry cough while sleeping is caused by allergies to dust or pet dander.,0
65,"A dry cough while sleeping is a sign of a respiratory infection, such as bronchitis.",0
65,A dry cough while sleeping is a symptom of gastroesophageal reflux disease (GERD).,0
65,"A dry cough while sleeping is a sign of a heart problem, such as congestive heart failure.",0
66,Genetic material is the substance that controls the inheritance of traits from one generation to the next and is expressed through the formation and functioning of the traits.,2
66,Genetic material is a single molecule that carries the genetic information.,0
66,Genetic material is a combination of DNA and RNA that controls the expression of traits.,0
66,Genetic material is a set of chromosomes that determines an individual's physical and behavioral characteristics.,0
66,Genetic material is a sequence of nucleotides that codes for proteins and is responsible for the expression of traits.,0
67,A codon is a sequence of three DNA or RNA nucleotides that corresponds with a specific amino acid or stop signal during protein synthesis.,2
67,A codon is a sequence of four DNA or RNA nucleotides that corresponds with a specific amino acid or stop signal during protein synthesis.,0
67,A codon is a sequence of two DNA or RNA nucleotides that corresponds with a specific amino acid or stop signal during protein synthesis.,0
67,A codon is a sequence of five DNA or RNA nucleotides that corresponds with a specific amino acid or stop signal during protein synthesis.,0
67,A codon is a sequence of six DNA or RNA nucleotides that corresponds with a specific amino acid or stop signal during protein synthesis.,0
68,Dandelion root tea is known for its liver-cleansing properties and its ability to support digestive health.,2
68,Dandelion root tea is a popular beverage in the springtime due to its refreshing taste.,0
68,Dandelion root tea is a common ingredient in traditional Chinese medicine for its liver-cleansing properties.,0
68,Dandelion root tea is a popular choice for those looking to detoxify their bodies.,0
68,Dandelion root tea is a popular choice for those looking to improve their skin health.,0
69,The trachea is the passageway for air to the lungs.,2
69,The pharynx is the passageway for air to the lungs.,0
69,The larynx is the passageway for air to the lungs.,0
69,The bronchi are the passageway for air to the lungs.,0
69,The bronchioles are the passageway for air to the lungs.,0
70,"The pre-pen package insert consists of a wheal of 5 mm in diameter with surrounding erythema greater than the wheal, a negative response to the control solution, and a positive response to histamine.",2
70,"The pre-pen package insert consists of a wheal of 10 mm in diameter with surrounding erythema greater than the wheal, a negative response to the control solution, and a positive response to histamine.",0
70,"The pre-pen package insert consists of a wheal of 3 mm in diameter with surrounding erythema greater than the wheal, a negative response to the control solution, and a positive response to histamine.",0
70,"The pre-pen package insert consists of a wheal of 7 mm in diameter with surrounding erythema greater than the wheal, a negative response to the control solution, and a positive response to histamine.",0
70,"The pre-pen package insert consists of a wheal of 1 mm in diameter with surrounding erythema greater than the wheal, a negative response to the control solution, and a positive response to histamine.",0
71,Labyrinthiti,2
71,Middle ear infection,0
71,Outer ear infection,0
71,Inner ear infection,0
71,Cold or flu,0
72,"Tonsillitis in children may cause enlarged tonsils and adenoids, along with symptoms such as snoring, loud breathing, choking, and gasping during sleep.",2
72,Tonsillitis in children is only caused by bacterial infections.,0
72,Tonsillitis in children is always accompanied by a fever.,0
72,Tonsillitis in children is a rare condition.,0
72,Tonsillitis in children is only treated with antibiotics.,0
73,"Avoid hot, spicy, salty, citrus-based, and high-sugar foods to help reduce pain and possibly speed up the healing process.",2
73,Applying ice to the sore can help reduce pain and inflammation.,0
73,Over-the-counter pain relievers can help alleviate discomfort.,0
73,Gargling with salt water can help soothe the sore.,0
73,Using a topical ointment can help prevent infection and promote healing.,0
74,A symporter is an integral membrane protein that facilitates the simultaneous transport of multiple molecules across the cell membrane.,2
74,A symporter is a type of cotransporter that only transports one type of molecule.,0
74,A symporter is a type of antiporter that transports molecules in opposite directions.,0
74,A symporter is a type of uniporter that transports molecules in the same direction.,0
74,A symporter is a type of cotransporter that transports molecules in the same direction.,0
75,"OxyContin is an extended-release form of oxycodone, while immediate-release oxycodone is a different version of the same drug.",2
75,"OxyContin is a brand-name version of oxycodone, while oxycodone is a generic drug.",0
75,"OxyContin is a stronger form of oxycodone, while immediate-release oxycodone is weaker.",0
75,"OxyContin is a different drug altogether, while immediate-release oxycodone is a type of oxycodone.",0
75,"OxyContin is a pain reliever, while immediate-release oxycodone is a sedative.",0
76,Tetanus vaccines may cause mild fever as a side effect.,2
76,Tetanus vaccines can cause severe swelling and pain at the injection site.,0
76,Tetanus vaccines can cause seizures and coma in rare cases.,0
76,Tetanus vaccines can cause permanent brain damage in very rare cases.,0
76,Tetanus vaccines can cause high fever and vomiting as side effects.,0
77,"Crossing-over occurs during meiosis, when chromatids break and may be reattached to a different homologous chromosome.",2
77,"Crossing-over occurs during mitosis, when chromatids break and may be reattached to a different homologous chromosome.",0
77,"Crossing-over occurs during DNA replication, when chromatids break and may be reattached to a different homologous chromosome.",0
77,"Crossing-over occurs during transcription, when chromatids break and may be reattached to a different homologous chromosome.",0
77,"Crossing-over occurs during translation, when chromatids break and may be reattached to a different homologous chromosome.",0
78,"Breo is prescribed for the treatment of COPD, including chronic bronchitis and emphysema.",2
78,Breo is used to treat asthma.,0
78,Breo is a cough suppressant.,0
78,Breo is a smoking cessation aid.,0
78,Breo is a weight loss medication.,0
79,"Heroin is used for its psychoactive effects, providing a sense of euphoria and relaxation.",2
79,Heroin is used as a painkiller for severe pain.,0
79,Heroin is used as a recreational drug for its intoxicating effects.,0
79,Heroin is used as a treatment for opioid addiction.,0
79,Heroin is used as a cure for insomnia.,0
80,Notch signaling controls NPC self-renewal and cell fate specification.,2
80,Notch signaling is a cell signaling system present only in mammals.,0
80,Notch receptors are transmembrane proteins that do not interact with other proteins.,0
