sentence,label
Thirst is not a symptom of overactive bladder.,0
"Overactive bladder symptoms include a sudden, strong urge to urinate, urinating frequently, and awakening two or more times throughout the night to urinate.",2
Overactive bladder symptoms are caused by a lack of thirst.,0
Overactive bladder symptoms are caused by drinking too much water.,0
Overactive bladder symptoms are caused by a lack of sleep.,0
Overactive bladder symptoms are caused by a lack of exercise.,0
the pulmonary vein,3
Aorta,1
Pulmonary artery,0
Vena cava,0
Pulmonary vein,0
Coronary artery,0
Aorta,2
Pulmonary vein,0
Left atrium,0
Right ventricle,0
Vena cava,0
Fungi help the environment by eating bad or harmful bacteria and by protecting the good or harmless bacteria.,3
Fungi break down dead organic matter and release nutrients back into the soil.,1
Fungi are responsible for causing diseases in plants and animals.,0
Fungi are a primary source of food for humans.,0
Fungi are the only organisms that can survive in extreme environments like the deep ocean.,0
Fungi are the only organisms that can survive in extreme environments like the deep ocean.,0
Fungi help the environment by eating bad or harmful bacteria and by protecting the good or harmless bacteria.,2
Fungi help the environment by breaking down dead organic matter.,0
Fungi help the environment by producing antibiotics that can be used to treat human diseases.,0
Fungi help the environment by producing enzymes that can be used in industrial processes.,0
Fungi help the environment by producing toxins that can be used as pesticides.,0
Zoledronic acid,3
Zometa,1
Zometa,0
Zometa,0
Zometa,0
Zometa,0
Zoledronic acid,2
Zometa,0
Zometa®,0
Zometa®,0
Zometa®,0
a viral enzyme that synthesizes RNA from an RNA template during viral replication.,3
RNA-dependent RNA polymerase is an enzyme that synthesizes RNA molecules from DNA templates.,1
RNA-dependent RNA polymerase is a protein that helps in the process of transcription.,0
RNA-dependent RNA polymerase is a type of DNA polymerase that synthesizes RNA molecules.,0
RNA-dependent RNA polymerase is a molecule that helps in the process of translation.,0
RNA-dependent RNA polymerase is a type of RNA molecule that synthesizes DNA molecules.,0
RNA-dependent RNA polymerase is an enzyme that synthesizes RNA from an RNA template during viral replication.,2
RNA-dependent RNA polymerase is a viral enzyme that synthesizes RNA from an RNA template during viral replication.,0
RNA-dependent RNA polymerase is a DNA-dependent RNA polymerase that synthesizes RNA from an RNA template during viral replication.,0
RNA-dependent RNA polymerase is a DNA-dependent RNA polymerase that synthesizes RNA from an RNA template during viral replication.,0
RNA-dependent RNA polymerase is a DNA-dependent RNA polymerase that synthesizes RNA from an RNA template during viral replication.,0
right atrium,3
The blood flow starts in the right atrium with deoxygenated blood.,1
The blood flow starts in the left atrium with deoxygenated blood.,0
The blood flow starts in the right ventricle with deoxygenated blood.,0
The blood flow starts in the left ventricle with deoxygenated blood.,0
The blood flow starts in the pulmonary artery with deoxygenated blood.,0
The blood flow starts in the right atrium of the heart with deoxygenated blood.,2
The blood flow starts in the left ventricle of the heart with deoxygenated blood.,0
The blood flow starts in the left atrium of the heart with deoxygenated blood.,0
The blood flow starts in the right ventricle of the heart with deoxygenated blood.,0
The blood flow starts in the left atrium of the heart with oxygenated blood.,0
"Trigger Point Injections (20552 and 20553) Always read the full description of a CPT code. For example, 20552 is reported for 1 or 2 muscle groups injected and 20553 is reported for 3 or more muscle groups injected.",3
Trigger point injection is a procedure that involves the injection of a local anesthetic or steroid into specific muscle areas to alleviate pain and improve mobility.,1
Trigger point injection is a surgical procedure that requires general anesthesia and hospitalization.,0
Trigger point injection is a non-invasive procedure that involves the use of ultrasound to guide the needle.,0
Trigger point injection is a procedure that involves the injection of a local anesthetic or steroid into specific muscle areas to alleviate pain and improve mobility.,0
Trigger point injection is a surgical procedure that requires general anesthesia and hospitalization.,0
20553,2
20552,0
20552,0
20552,0
20553,0
DNA replication is the process by which DNA makes a copy of itself during cell division.,3
"DNA replication is the process by which a cell duplicates its genetic material, creating two identical copies of the DNA molecule.",1
"DNA replication occurs in the nucleus of the cell, where the DNA double helix unwinds and separates into two strands.",0
"The process of DNA replication involves the use of enzymes, such as DNA polymerase, to synthesize new strands of DNA from the existing ones.",0
"During DNA replication, the two strands of the DNA double helix serve as templates for the synthesis of new complementary strands.",0
"The newly synthesized DNA strands are then rewound into a double helix, forming two identical copies of the original DNA molecule.",0
DNA replication is the process by which DNA makes a copy of itself during cell division.,2
The first step in DNA replication is to 'unzip' the double helix structure of the DNA molecule.,0
"Chunks of DNA, called Okazaki fragments, are then added to the lagging strand in the 5' to 3' direction.",0
This type of replication is called discontinuous because the Okazaki fragments will need to be joined up later.,0
"The process of DNA replication is essential for the growth, development, and maintenance of living organisms.",0
Vitamin B12,3
Vitamin B12 deficiency can cause tingling muscles.,1
Vitamin C deficiency can cause tingling muscles.,0
Vitamin D deficiency can cause tingling muscles.,0
Vitamin E deficiency can cause tingling muscles.,0
Vitamin K deficiency can cause tingling muscles.,0
Vitamin B12 deficiency,2
Hypocalcemia,0
Peripheral neuropathy,0
Muscle cramps or spasms (painful),0
Morning joint stiffness,0
27 years of age.,3
65 years old,1
50 years old,0
40 years old,0
30 years old,0
20 years old,0
40 years old,2
27 years old,0
20 years old,0
35 years old,0
50 years old,0
"stitches and a bandage on your new elbow. You may also need to keep your arm in a splint to keep it stable while it heals. Because elbow replacement involves cutting skin, tendons, and bone, you'll need strong pain medications after surgery.",3
"After elbow surgery, you may experience pain, swelling, and stiffness in the affected area.",1
"After elbow surgery, you will be able to return to your normal activities immediately.",0
"After elbow surgery, you will need to wear a cast or splint to protect the healing process.",0
"After elbow surgery, you will not need any physical therapy to regain strength and mobility.",0
"After elbow surgery, you will experience no complications or side effects.",0
You'll need to stay in the hospital for up to 4 days after elbow surgery.,2
You'll have stitches and a bandage on your new elbow after surgery.,0
You may need to keep your arm in a splint to keep it stable while it heals.,0
You'll need strong pain medications after elbow surgery.,0
You'll be awake during the elbow replacement surgery.,0
complete blood count (CBC),3
Complete blood count (CBC),1
Hemoglobin test,0
Ferritin test,0
Vitamin B12 test,0
Folate test,0
Complete blood count (CBC),2
Hemoglobin level,0
Hematocrit level,0
Blood oxygen levels,0
Blood iron levels,0
The Detrusor Muscle is a layer of the Urinary Bladder wall which is itself made up by three layers,3
The detrusor muscle is a smooth muscle that contracts to expel urine from the bladder.,1
The detrusor muscle is a skeletal muscle that relaxes to hold urine in the bladder.,0
The detrusor muscle is a cardiac muscle that contracts to pump blood through the body.,0
The detrusor muscle is a striated muscle that relaxes to store urine in the bladder.,0
The detrusor muscle is a smooth muscle that relaxes to expel urine from the bladder.,0
The Detrusor Muscle is a layer of the Urinary Bladder wall which is itself made up by three layers.,2
The Detrusor Muscle is smooth muscle fibers arranged in spiral and circular bundles.,0
The Detrusor Muscle is a layer of the Urinary Bladder wall which is made up by three layers of smooth muscle fibers arranged in spiral and circular bundles.,0
"The Detrusor Muscle is a layer of the Urinary Bladder wall which is made up by three layers of smooth muscle fibers arranged in spiral and circular bundles, and it is responsible for the contraction and relaxation of the bladder.",0
"The Detrusor Muscle is a layer of the Urinary Bladder wall which is made up by three layers of smooth muscle fibers arranged in spiral and circular bundles, and it is responsible for the contraction and relaxation of the bladder, and it is also involved in the process of urination.",0
"it takes five half-lives for the drug to clear a person's system completely,",3
"Antibiotics typically stay in the body for a few days to a few weeks, depending on the type and dosage.",1
Antibiotics can stay in the body for months or even years.,0
Antibiotics are eliminated from the body within hours of taking them.,0
Antibiotics can stay in the body for up to a year.,0
Antibiotics are eliminated from the body within minutes of taking them.,0
"Antibiotics stay in the body for different lengths of time, depending on their specific half-life.",2
Antibiotics are cleared from the body within a few hours.,0
It takes only one half-life for antibiotics to clear a person's system.,0
Antibiotics are cleared from the body within a few minutes.,0
It takes five half-lives for antibiotics to clear a person's system.,0
Barrett's esophagus,3
Gastric acid reflux,1
Helicobacter pylori infection,0
Celiac disease,0
Crohn's disease,0
Irritable bowel syndrome,0
Barrett's esophagus,2
GERD,0
Crohn's disease,0
Ulcerative colitis,0
Celiac disease,0
"joint pain, fatigue, general weakness, weight loss, and stomach pain.",3
"Iron overload symptoms include fatigue, weakness, and shortness of breath.",1
Iron overload symptoms include headaches and dizziness.,0
Iron overload symptoms include skin discoloration and brittle nails.,0
Iron overload symptoms include heart palpitations and chest pain.,0
Iron overload symptoms include hair loss and weight gain.,0
"Joint pain, fatigue, general weakness, weight loss, and stomach pain",2
"Headache, fever, and chills",0
"Nausea, vomiting, and diarrhea",0
Skin rashes and itching,0
Increased heart rate and shortness of breath,0
"a group (class) of medicines that work on the cells that line the stomach, reducing the production of acid.",3
Protein pump therapy is a treatment that uses a specialized pump to deliver a protein solution directly into the bloodstream.,1
Protein pump therapy is a method of administering insulin through a pump.,0
Protein pump therapy is a treatment that involves injecting a protein solution into the body.,0
Protein pump therapy is a treatment that uses a pump to deliver a protein solution into the bloodstream.,0
Protein pump therapy is a treatment that involves injecting a protein solution into the bloodstream.,0
"Proton pump inhibitors (PPIs) are a group of medicines that work on the cells that line the stomach, reducing the production of acid.",2
"PPIs include esomeprazole, lansoprazole, omeprazole, pantoprazole, and rabeprazole, with various brand names.",0
PPIs are used to treat conditions such as gastroesophageal reflux disease (GERD) and peptic ulcers.,0
PPIs are not recommended for long-term use due to potential side effects and risks.,0
PPIs are not effective in treating heartburn or indigestion.,0
One of the important factors in digesting food is the bile. Bile is a bright green fluid produced by the liver. It is mainly responsible for the color of the stool to be excreted and it is responsible for the stool’s consistency as well. It is a fluid that absorbs fats and fat soluble vitamins.,3
Consuming green foods or vegetables,1
Ingesting green food coloring,0
Eating green leafy vegetables,0
Having a parasitic infection,0
Taking iron supplements,0
Bile is a bright green fluid produced by the liver and is responsible for the color and consistency of stool.,2
Bright green stool is caused by the presence of bile in the stool.,0
"Bile is responsible for the color and consistency of stool, but not the bright green color.",0
"Bright green stool is caused by the presence of bile in the stool, but not the color.",0
"Bright green stool is caused by the presence of bile in the stool, but not the color or consistency.",0
Glue Ear,3
A cloudy eardrum is a sign of an infection or inflammation in the middle ear.,1
A cloudy eardrum is a symptom of a cold or flu.,0
A cloudy eardrum is a result of a buildup of earwax.,0
A cloudy eardrum is a side effect of using ear drops.,0
A cloudy eardrum is a sign of a hearing problem.,0
"Glue ear, also known as otitis media with effusion (OME), is a condition where the middle ear is filled with fluid instead of air.",2
"The exact cause of glue ear is not yet known, but many doctors believe it is due to an improperly functioning auditory tube.",0
"Glue ear is a common condition in children, affecting about 1 in 5 children at some point during their childhood.",0
"Symptoms of glue ear include hearing loss, earache, and difficulty hearing speech.",0
"Treatment for glue ear may include antibiotics, antihistamines, or ear drops, but in some cases, the condition may resolve on its own.",0
"Chinese cabbage, kale, and broccoli.Spinach",3
"Dairy products, such as milk, cheese, and yogurt, are high in calcium.",1
"Leafy green vegetables, like spinach and kale, contain calcium.",0
"Some fish, like sardines and salmon, have calcium.",0
Tofu is a plant-based source of calcium.,0
Calcium is not found in fruits.,0
"Milk, yogurt, and cheese are rich natural sources of calcium.",2
"Nondairy sources include vegetables, such as Chinese cabbage, kale, and broccoli.",0
"Spinach provides calcium, but its bioavailability is poor.",0
Almonds are a good source of calcium.,0
Chocolate is a high source of calcium.,0
"irritation of the eyes or nose, cough, blood in the sputum, and shortness of breath.",3
"You inhale oxygen, which is essential for cellular respiration.",1
"You take in carbon dioxide, which is a waste product of cellular respiration.",0
"You breathe in nitrogen, which is a component of the Earth's atmosphere.",0
"You inhale helium, which is a lighter-than-air gas and not found in the Earth's atmosphere.",0
"You breathe in hydrogen, which is a highly flammable gas and not found in the Earth's atmosphere.",0
Symptoms depend on which gas or chemical is inhaled and how deeply and for how long it was inhaled.,2
"Irritation of the eyes or nose, cough, blood in the sputum, and shortness of breath are common symptoms.",0
"Chest x-rays, computed tomography, and breathing tests are used to determine lung damage.",0
Breathing in gas can cause no symptoms at all.,0
Breathing in gas can only cause symptoms if it is inhaled deeply and for a long time.,0
"an uncomfortable feeling of fullness, pain, or burning in your upper abdomen.",3
Extreme indigestion feels like a burning sensation in the chest or upper abdomen.,1
Extreme indigestion feels like a tightness in the chest.,0
Extreme indigestion feels like a dull ache in the stomach.,0
Extreme indigestion feels like a gnawing sensation in the stomach.,0
Extreme indigestion feels like a sharp pain in the stomach.,0
"Extreme indigestion feels like a severe, persistent pain in the upper abdomen.",2
Extreme indigestion feels like a burning sensation in the chest.,0
"Extreme indigestion feels like a constant, uncomfortable fullness in the stomach.",0
"Extreme indigestion feels like a mild, occasional discomfort in the upper abdomen.",0
"Extreme indigestion feels like a sharp, stabbing pain in the lower abdomen.",0
Yeast infections of the skin can cause rashes often referred to as intertrigo.,3
Measles,1
Chickenpox,0
Scabies,0
Ringworm,0
Hives,0
Vaginal yeast infection,2
Skin yeast infection,0
Bacterial infection,0
Fungal infection,0
Viral infection,0
The nasal cavity (or nasal fossa) is a large air filled space above and behind the nose in the middle of the face. Each cavity is the continuation of one of the two nostrils.he nasal cavity (or nasal fossa) is a large air filled space above and behind the nose in the middle of the face. Each cavity is the continuation of one of the two nostrils.,3
The mucous membrane in the nasal cavity helps to filter and humidify the air we breathe.,1
The mucous membrane in the nasal cavity is responsible for producing mucus to trap dust particles and bacteria.,0
The mucous membrane in the nasal cavity is involved in the sense of smell.,0
The mucous membrane in the nasal cavity is responsible for producing tears.,0
The mucous membrane in the nasal cavity is involved in the sense of taste.,0
"The mucous membrane that lines the nasal cavity helps to filter, warm, and moisten the air we breathe.",2
The mucous membrane that lines the nasal cavity is responsible for producing mucus to trap dust particles and bacteria.,0
"The mucous membrane that lines the nasal cavity is responsible for producing mucus to trap dust particles and bacteria, as well as to filter, warm, and moisten the air we breathe.",0
"The mucous membrane that lines the nasal cavity is responsible for producing mucus to trap dust particles and bacteria, as well as to filter, warm, and moisten the air we breathe, and to help regulate the temperature of the air we breathe.",0
!,0
Hickman County,3
Tennessee,1
Alabama,0
Mississippi,0
Georgia,0
Kentucky,0
Hickman County,2
Maury County,0
Dickson County,0
Williamson County,0
Cheatham County,0
3-4 months,3
Botox for strabismus typically lasts for 3-4 months.,1
Botox for strabismus lasts for 6-8 months.,0
Botox for strabismus lasts for 1-2 months.,0
Botox for strabismus lasts for 9-12 months.,0
Botox for strabismus lasts for 1-2 weeks.,0
Botox for strabismus can last 3-4 months.,2
Botox for strabismus can last up to 6 months.,0
Botox for strabismus can last up to 1 year.,0
Botox for strabismus can last up to 2 years.,0
Botox for strabismus can last up to 3 years.,0
around 0.4-4.5 mIU/L,3
A normal TSH level is between 0.4 and 4.0 mIU/L.,1
A normal TSH level is below 0.4 mIU/L.,0
A normal TSH level is above 4.0 mIU/L.,0
A normal TSH level is between 0.4 and 4.0 mIU/L.,0
A normal TSH level is below 0.4 mIU/L.,0
0.4-4.5 mIU/L,2
0.1-1.5 mIU/L,0
5.5-6.5 mIU/L,0
10-12 mIU/L,0
15-17 mIU/L,0
Cardiovascular disease (CVD) is a class of diseases that involve the heart or blood vessels.,3
Cardiovascular disease is a group of disorders that affect the heart and blood vessels.,1
Cardiovascular disease is caused by poor diet and lack of exercise.,0
Cardiovascular disease is a genetic condition that cannot be prevented.,0
Cardiovascular disease only affects older adults.,0
Cardiovascular disease is a single condition with a single cause.,0
Cardiovascular disease (CVD) is a class of diseases that involve the heart or blood vessels.,2
Cardiovascular disease includes coronary artery diseases (CAD) such as angina and myocardial infarction (commonly known as a heart attack).,0
Cardiovascular disease is a rare heart disease.,0
Cardiovascular disease only affects the heart.,0
Cardiovascular disease is not related to blood vessels.,0
No,3
"No, sexual diseases cannot be caused by wearing underwear.",1
"Yes, sexual diseases can be caused by wearing underwear.",0
Sexual diseases are only caused by not wearing underwear.,0
Wearing underwear can prevent sexual diseases.,0
Sexual diseases are not related to wearing underwear.,0
"No, it is not possible to contract the typical STDs, such as syphilis, gonorrhea, chlamydia, hepatitis B, etc. from wearing someone else's dirty underwear. However, crabs and scabies may be spread in this fashion.",2
"Yes, you can contract STDs from wearing someone else's dirty underwear.",0
"No, you cannot contract STDs from wearing someone else's dirty underwear, but you can get crabs and scabies.",0
"Yes, you can contract STDs from wearing someone else's dirty underwear, but not crabs and scabies.",0
"No, you cannot contract STDs from wearing someone else's dirty underwear, but you can get crabs and scabies.",0
renal medulla.,3
The renal cortex is darker reddish-brown.,1
The renal medulla is darker reddish-brown.,0
The renal pelvis is darker reddish-brown.,0
The renal calyces are darker reddish-brown.,0
The renal capsule is darker reddish-brown.,0
Renal medulla,2
Renal cortex,0
Renal pyramids,0
Blood vessels,0
Striated structures,0
"Clindamycin is a lincosamide antibiotic that has been approved by the US Food and Drug Administration (FDA) for the treatment of anaerobic, streptococcal, and staphylococcal infections.",3
"Yes, Cleocin has anaerobic coverage.",1
"No, Cleocin does not have anaerobic coverage.",0
Cleocin is not effective against anaerobic bacteria.,0
Cleocin is only effective against aerobic bacteria.,0
Cleocin is a broad-spectrum antibiotic that covers both aerobic and anaerobic bacteria.,0
"Yes, Clindamycin has anaerobic coverage.",2
"No, Clindamycin does not have anaerobic coverage.",0
Clindamycin is not an antibiotic.,0
Clindamycin is only effective against aerobic bacteria.,0
Clindamycin is not approved by the FDA for the treatment of anaerobic infections.,0
"substances or drugs that stimulate the intestines, causing the body to eliminate waste.",3
Laxatives are medications that help relieve constipation by stimulating bowel movements.,1
Laxatives are a type of medication that can cause severe side effects if used excessively.,0
Laxatives are a type of medication that can be used to treat diarrhea.,0
Laxatives are a type of medication that can be used to treat heartburn.,0
Laxatives are a type of medication that can be used to treat high blood pressure.,0
"Laxatives are substances or drugs that stimulate the intestines, causing the body to eliminate waste.",2
Laxatives are only used for constipation caused by too much roughage in the diet.,0
Laxatives are only effective when taken with a high-fiber diet.,0
Laxatives are ineffective in treating constipation caused by anxiety.,0
Laxatives are not recommended for long-term use due to potential side effects.,0
thyroxine test.,3
Thyroid Stimulating Hormone (TSH) Test,1
Thyroid Function Test,0
Thyroid Hormone Test,0
Thyroid Hormone Level Test,0
Thyroid Hormone Measurement Test,0
T4 test,2
TSH test,0
Thyroxine test,0
Thyroid-stimulating hormone test,0
Low-functioning thyroid gland test,0
used to relieve nerve pain after shingles (infection with the herpes zoster virus).,3
The lidoderm patch is used for treating post-herpetic neuralgia.,1
The lidoderm patch is used for treating migraines.,0
The lidoderm patch is used for treating chronic pain.,0
The lidoderm patch is used for treating acute pain.,0
The lidoderm patch is used for treating diabetic neuropathy.,0
Relieve nerve pain after shingles (post-herpetic neuralgia),2
Treat sharp/burning/aching pain,0
Reduce discomfort caused by overly sensitive skin,0
Provide temporary loss of feeling in the application area,0
Treat local anesthetic effects,0
"dizziness, drowsiness, unsteadiness, vomiting, diarrhea, constipation, stomach pain, confusion, headache, blurred vision, ringing in the ears, dry mouth, swollen tongue, and leg cramps.",3
Carbamazepine is an anticonvulsant medication used to treat seizures and nerve pain.,1
"Side effects of carbamazepine may include dizziness, drowsiness, and nausea.",0
Carbamazepine can cause serious side effects such as liver damage and allergic reactions.,0
Carbamazepine is not recommended for pregnant women due to potential risks to the developing fetus.,0
Carbamazepine is a safe and effective medication with no significant side effects.,0
Dizziness,2
Stomach pain,0
Confusion,0
Headache,0
Blurred vision,0
160-900 mg,3
"Hawthorn is a plant with medicinal properties, and its recommended dosage varies depending on the form and purpose of its use.",1
"Hawthorn is a fruit that can be consumed in its natural form, and its recommended dosage is one fruit per day.",0
"Hawthorn is a herb that can be used in tea form, and its recommended dosage is one cup of tea per day.",0
"Hawthorn is a supplement that can be taken in capsule form, and its recommended dosage is one capsule per day.",0
"Hawthorn is a plant that can be used in tincture form, and its recommended dosage is one dropperful per day.",0
160-900 mg of a native water-ethanol extract of the leaves or flowers,2
30-169 mg of epicatechin,0
3.5-19.8 mg of flavonoids,0
3-4 times daily,0
1-2 times daily,0
to attack any pathogens that try to enter your body.,3
"All the organ systems work together through a process called homeostasis, which maintains a stable internal environment despite external changes.",1
The organ systems work together by sharing resources and communicating through hormones and neurotransmitters.,0
"The organ systems work together by having a hierarchical structure, with the brain controlling the body's functions.",0
"The organ systems work together by having a linear relationship, with each system depending on the previous one.",0
"The organ systems work together by having a competitive relationship, with each system trying to outperform the others.",0
"The immune system works together with other organ systems to detect and eliminate pathogens, maintaining the body's overall health.",2
The immune system is a separate system that operates independently of other organ systems.,0
The immune system is a single organ that works alone to fight off infections.,0
The immune system is a group of cells that only work in the lungs to combat infections.,0
The immune system is a group of cells that only work in the liver to combat infections.,0
Enamel,3
Collagen,1
Keratin,0
Elastin,0
Fibrin,0
Chitin,0
Enamel is the hardest substance in the human body.,2
Bones are the strongest substance in the human body.,0
Teeth are the strongest substance in the human body.,0
Hair is the strongest substance in the human body.,0
Nails are the strongest substance in the human body.,0
"Ascariasis, or roundworm",3
Roundworms (Ascaris lumbricoides),1
Hookworms (Necator americanus),0
Tapeworms (Taenia solium),0
Whipworms (Trichuris trichiura),0
Pinworms (Enterobius vermicularis),0
Ascariasis,2
Hookworm,0
Whipworm,0
Tapeworm,0
Schistosomiasis,0
transcription,3
Transcription,1
Translation,0
Translation,0
Translation,0
Translation,0
Transcription,2
Translation,0
Replication,0
Translation,0
Replication,0
due to gingival (gum) recession or resorption of the gingival papilla or gum tissue that fills in that space between your teeth.,3
Poor oral hygiene,1
Consuming dark-colored foods,0
Smoking,0
Genetic factors,0
Inadequate fluoride intake,0
Gingival recession or resorption of the gingival papilla,2
Poor oral hygiene,0
Teeth grinding,0
Inadequate dental care,0
Insufficient saliva production,0
partial seizures.,3
Oxcarbazepine is used to treat epilepsy.,1
Oxcarbazepine is used to treat bipolar disorder.,0
Oxcarbazepine is used to treat migraines.,0
